,name,address
0,RVパーク昆布森番屋,北海道釧路郡釧路町昆布森３-114
1,RVパーク 阿寒丹頂の里,北海道釧路市阿寒町上阿寒23-36-1
2,星おどるRVパークおだいとう,北海道野付郡別海町尾岱沼岬町65
3,RVパーク雪月花廊inきもべつ,北海道虻田郡喜茂別町中里392
4,RVパーク倶知安,北海道虻田郡倶知安町高砂117番地4
5,RVパーク糸井の森,北海道苫小牧市糸井465-2　糸井の森パークゴルフ
6,美唄RVパーク,北海道美唄市東明町3区
7,RVパーク峠の湯びほろ,北海道網走郡美幌町字都橋40番地1
8,RVパーク えんがる町ホテルサンシャイン,北海道紋別郡遠軽町大通北1-1-1
9,RVパーク 石狩FIELD,北海道石狩市横町39　旧石狩小学校グラウンド
10,RVパーク　ピリカ,北海道瀬棚郡今金町美利河205-1
11,えべつRVパーク,北海道江別市角山２０６番地４２
12,RVパーク みどり,北海道根室市緑町1丁目２３番地
13,RVパーク 手稲山麓,北海道札幌市手稲区富丘三条7丁目1-58
14,札幌小金湯さくらRVパーク,北海道札幌市南区小金湯675-3
15,RVパーク outdoor base TRIOUT,北海道札幌市南区小金湯644-52
16,RVパーク・知床清里町ウエネウサルみどり,北海道斜里郡清里町緑町71-11
17,RVパーク花ロードえにわ,北海道恵庭市南島松828番地3
18,RVパーク　おけと勝山温泉ゆぅゆ,北海道常呂郡置戸町字常元１番地の５
19,メープルロッジ RVパーク,北海道岩見沢市毛陽町１８３番地２
20,RVパーク室蘭　ZEKKEI BASE CAMP,北海道室蘭市絵鞆町4-2-23
21,RVパーク　カーリンクス長沼キャンプ場,北海道夕張郡長沼町北市区東1線北15番地
22,RVパーク なよろ温泉サンピラー,北海道名寄市日進
23,RVパーク 北斗,北海道北斗市市渡788-28
24,RVパーク　RV FOREST 310,北海道勇払郡厚真町豊沢481-36
25,RVパークはこだて緑園通,北海道函館市本通3丁目15-11
26,農村公園フルーツパークにき RVパーク,北海道余市郡仁木町東町16丁目121
27,RVパークおおぬま / YUKARA AUTO CAMP,北海道亀田郡七飯町大沼町206-1
28,RVパーク 十勝まきばの家,北海道中川郡池田町清見144
29,RVパーク　十勝ワッカの森キャンプ場,北海道上川郡清水町旭山28番46
30,ＲＶパークわっさむふれあいのもり,北海道上川郡和寒町三笠１０３番地
31,RVパーク GranPark八甲田,青森県青森市合子沢松森356
32,RVパーク 青森お～の～パーク,青森県弘前市百沢寺沢290-9
33,RVパーク ポニー温泉,青森県十和田市三本木字佐井幅167-1
34,RVパーク PittINN BASE 青森,青森県五所川原市みどり町４丁目４６
35,RVパークみちのくはしかみ,青森県三戸郡階上町道仏字笹畑53-15
36,RVパーク岩手山,岩手県岩手郡雫石町長山岩手山22－394
37,RVパーク北上 ゆっくりレンタカー,岩手県北上市鬼柳町宿７７－３
38,RVパーク秘湯 夏油温泉,岩手県北上市和賀町岩崎新田8-7
39,RVパーク DynaBase APPI,岩手県八幡平市松尾寄木第一地割６１８－４６
40,普代浜園地キラウミＲＶパーク,岩手県下閉伊郡普代村明神28番地19、29番地
41,RVパーク　荒馬沢,宮城県登米市東和町米谷字荒馬沢23
42,RVパークおながわ＆浜焼きコーナー,宮城県牡鹿郡女川町鷲神浜字堀切山109-11
43,RVパークまほろば,宮城県刈田郡蔵王町遠刈田温泉字新地東裏山34-27
44,MSBぴかぴかパークOne  【in 遠刈田温泉】,宮城県刈田郡蔵王町遠刈田温泉仲町7
45,RVパーク泉ヶ岳スキー場,宮城県仙台市泉区福岡字岳山9-4
46,RVパーク　鳥の海ベース,宮城県亘理郡亘理町荒浜字築港通り37-71
47,RVパーク RVライフ秋田,秋田県秋田市寺内油田２丁目1-52
48,RVパークユーランド,秋田県秋田市八橋イサノ2-16-29
49,RVパーク　おおやま,山形県鶴岡市大山上柳原27-1
